region;baron_first_blue;champion_first_blue;dragon_first_blue;inhibitor_first_blue;herald_first_blue;tower_first_blue;baron_first_red;champion_first_red;dragon_first_red;inhibitor_first_red;herald_first_red;tower_first_red;dif_kills;dif_barons;dif_dragons;dif_inhibitor;dif_herald;dif_tower;dif_dmg_dealt_to_buildings;dif_dmg_dealt_to_objectives;dif_dmg_dealt_to_turrets;dif_dmg_self_mitigated;dif_gold_earned;dif_gold_spent;dif_magic_dmg_dealt;dif_physical_dmg_dealt;dif_true_dmg_dealt;dif_total_minions_killed;dif_neutral_minions_killed;dif_total_heal;dif_vision_score;win_blue
KR;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;9.0;-2.0;2.0;-1.0;2.0;3.0;40896.0;139716.0;40896.0;-64992.0;9822.0;2460.0;-176256.0;-151854.0;374082.0;78.0;42.0;39270.0;-318.0;1.0
KR;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;-12.0;0.0;-2.0;0.0;-1.0;-2.0;-3605.0;-29567.0;-3605.0;-411.0;-6958.0;-6525.0;-94316.0;25559.0;15755.0;-15.0;-17.0;-10567.0;-45.0;0.0
KR;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;-1.0;-1.0;2.0;-1.0;0.0;-2.0;-3237.0;-8907.0;-3237.0;6175.0;-6777.0;-5265.0;45159.0;-55021.0;-41065.0;-66.0;29.0;-4517.0;-19.0;0.0
KR;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;-10.0;0.0;-4.0;-1.0;-2.0;-8.0;-31306.0;-136148.0;-31306.0;64318.0;-15700.0;-8060.0;-50.0;-339640.0;-54086.0;-14.0;-172.0;53944.0;-108.0;0.0
KR;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;5.0;1.0;1.0;0.0;-2.0;1.0;7416.0;25348.0;7416.0;5507.0;5628.0;677.0;-12129.0;100637.0;-21818.0;1.0;13.0;923.0;20.0;1.0
KR;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;8.0;1.0;0.0;1.0;0.0;3.0;2171.0;39154.0;2171.0;18440.0;10146.0;8130.0;-20645.0;222652.0;21089.0;75.0;46.0;-1575.0;11.0;1.0
KR;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;-10.0;0.0;-2.0;0.0;1.0;0.0;-6664.0;-30460.0;-6664.0;-15768.0;-13012.0;-6700.0;-246884.0;166080.0;-740.0;-84.0;-40.0;-45828.0;60.0;0.0
KR;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;-10.0;0.0;-2.0;0.0;1.0;0.0;-6664.0;-30460.0;-6664.0;-15768.0;-13012.0;-6700.0;-246884.0;166080.0;-740.0;-84.0;-40.0;-45828.0;60.0;0.0
KR;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;1.0;0.0;2.0;3.0;4367.0;33042.0;4367.0;-7871.0;9328.0;6900.0;66161.0;71938.0;-161778.0;87.0;39.0;9628.0;-26.0;1.0
KR;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;-18.0;-1.0;2.0;-1.0;-2.0;-6.0;-15980.0;-31372.0;-15980.0;-55336.0;-21722.0;-15000.0;-75630.0;-21932.0;-25062.0;-38.0;-22.0;-14472.0;-38.0;0.0
KR;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;-12.0;-1.0;0.0;-1.0;-2.0;-8.0;-66895.0;-151665.0;-66895.0;-85470.0;-56590.0;-24635.0;-66075.0;-201030.0;-4770.0;5.0;-70.0;-75680.0;-95.0;0.0
KR;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;-11.0;0.0;0.0;0.0;-1.0;-2.0;-11748.0;-21074.0;-11748.0;-7644.0;-15488.0;-13250.0;-105400.0;-38078.0;6586.0;-104.0;-40.0;-11722.0;-46.0;0.0
KR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;-11.0;0.0;-1.0;0.0;-2.0;-4.0;-15040.0;-37252.0;-15040.0;2386.0;-23770.0;-15166.0;-74952.0;-178406.0;-5424.0;-94.0;-90.0;-1750.0;-26.0;0.0
KR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;-16.0;0.0;-1.0;0.0;-1.0;-3.0;-15908.0;-53132.0;-15908.0;-20540.0;-35164.0;-28080.0;-7244.0;-262584.0;-8232.0;0.0;-68.0;-22528.0;-148.0;0.0
KR;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;-8.0;-1.0;-3.0;-1.0;-2.0;-3.0;-12900.0;-116476.0;-12900.0;-26526.0;-14658.0;-13580.0;-68810.0;-64396.0;27116.0;-152.0;-10.0;6642.0;-36.0;0.0
KR;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;-12.0;0.0;0.0;0.0;1.0;0.0;1320.0;1230.0;1320.0;3852.0;-5624.0;-3480.0;-68558.0;53589.0;-18401.0;-71.0;16.0;5701.0;-5.0;0.0
