summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,leagueId,queue,name
RpxWMF26y7sarJTYyfjH0tuOue-rK64UYV_5qEwNawBTLxc,Notiko,1254,I,234,190,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
sfPdLw-e0XuhVUD5qJHCP4iB0OtpMdFg2iSPLX87BUPpAS9GAOAVvvbkkQ,PiMP DADDY1233,920,I,423,392,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
LWNfCh6Wxo8yeUBScWe4iLjmTZg0FLOB4q9xqZDoahCCO1Q,Excel lent mid,1104,I,122,88,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
1GoevhaC3xMTfGE2COc4mUwQRCnKfM5pMfFNgXWu89b-fyFo,FΙGHT,1346,I,232,184,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
R6ho0Ruy1qQvkuC8QWy1d9cOyiIu6QgtbThuEMIDKU1lG1SD,ruep,1057,I,219,172,False,False,True,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
ulaqzTJQ545yRZG42qckYAhPseBhEKOwNDPDmI5xV6YrOauw,VELJA THE MENACE,1070,I,210,177,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
sma9r1bC5Be3ZQMAyNFt533j6UeZ_YIVhydlo0mCHAbmxzs,Wesley Warren Jr,1292,I,306,258,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
yBeDlsLW4COEy-EnWd2sQ__CwAn1aKHcQ1uueDAnnynnn2I,Jαvier,1174,I,193,157,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
7drQW3WKElWaf_mBUYmu0aRIANzVAu5AntNsbIx0Ua0N8Y2Ylemn9f7sSg,I Love Uber Eats,1535,I,335,284,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
jQfHkDa1GYX1_IXE8u5NmdpHtoeOh0drOBPRX12If7zin_c,Barkoon,1056,I,245,218,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
RfFX89KDGxibr2HlaU3ettiyMHNO9rRnpggQXUvuZXJYyf0HP4WT2plKAw,Lil Peep,933,I,319,267,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
iEEAkbfC-YrpVvvwoGRFyQdwjZ-JYlGCNkziSP-lqlBLej02em2XF9B9wA,disciplinfreedom,1202,I,119,73,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
8_3iShyJ6EGG0NnhXP4XC0Ko4Zx8qRaZuXz3IzdpQseOFuZ7,MORDE OTWIERA,1078,I,307,271,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
_BefsI4mHINq9H8wyKrV-1B1kA_7ujxTWqEtZP7HgbVxEJw,Keia CH,1060,I,172,141,False,False,True,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
D4d53HdOuxuc6vKxxF0f60v5Mt6S0K7njPen6QcVqAhb83A,Faker SIayer,1399,I,329,281,True,False,False,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
a6-dIrPKOHHgKDwXH9iqZ0RbB4L33KsUdOOqZJoZHt9PdzQ,ZeusPhotonMaRin,983,I,192,152,False,False,True,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
uds-pb4W2d5fV74aIoOS3szdMwANmRD74jwY2r9yrHm1D7M,dehastee,1206,I,155,118,False,False,False,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
0kDcwwrJ1EFqH0jHQap2W6Cd5XvZrHaTzWRdFkItKMAPyXJlcsm63NlBIw,LUGGAGE INCIDENT,1164,I,174,127,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
Ybd4D6oysI-NBkfEddFe8HLKhZgqpihfVeK_K9-VnNTQFAY,IW Elramir,1033,I,277,253,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
XzFuPQ65rgM318lUfd0cvVROABZ0nDdxDvSvfnXyr1YfFFc,aII mb,1220,I,370,334,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
p3OGUc5bGEMRulzPyGFaa27nt-8Ixbs-xkQGwBAuxxsAvRI,Envy Carry,1181,I,331,293,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
07F-yFpB-mJuguOPDcbgnusTQ9CnbC2NA1vQGdlVmCVSAGNkcSyu_JaWfA,LIL Peyz1,1218,I,255,220,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
G9StxEjjufXgWHt05Q3jzFQqCiPIha1vpM-vQDKT3X5lPBt-Zr-0Z2ixXw,16yo smurf,1013,I,192,166,False,False,True,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
qkUVSRNaJY9F2uDaJ65erJAqrCY5RcuprKYtIrYpZGHwSo4,Φ Pπ Φ,1030,I,246,206,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
JVPO1Q_g6mfrk6iJtjax-IjbhF0OrU69eYoYwXwexV10wxkMh52FNnK-Jw,sanghyxxn,1370,I,337,269,True,False,False,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
bi0NcTOM6Wvca6OMokU-wsay_-BF4-p3G6Frs5nqToATKgo,Køldo Locuraa,1084,I,162,134,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
fszc_WP4pgP-Peupw48-izKxSAAHTm9ktpYSr8lrwU26mXBb0Wq7U8qmXw,Reborn Berkan,1116,I,88,45,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
CAhEX0SZJvrYz10RjVe1UcIG4-ZnndN-E2HLrTf_z2CfhAc,Tiago Rodrigues,1047,I,180,145,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
sIfou6YrcniDSH6fZx7WnceyHx0V2kRkM-IkYwSAg6jG6c7PK2KYuadYbw,Electric,1003,I,371,320,False,False,False,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
m8EDjdy4bOSekE6CWYDXd-Jy0BSDUhSlSLqvgjQcmAoSCDk,fantomisto,1021,I,333,292,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
